"year","s1","s2","s3","s4","s5","s6"
2008,0.1088702536261,0.131654666866862,0.143625028028263,0.125336917236319,0.144471314160097,0.128335052855593
2009,0.108926268231609,0.132939277247895,0.144803710432285,0.125857896508653,0.144713232879949,0.128731299363059
2010,0.108982282837117,0.134223887628928,0.145982392836308,0.126378875780986,0.144955151599801,0.129127545870525
2011,0.109038297442626,0.135508498009961,0.14716107524033,0.12689985505332,0.145197070319653,0.129523792377991
2012,0.109094312048135,0.136793108390994,0.148339757644353,0.127420834325654,0.145438989039505,0.129920038885457
2013,0.109150326653644,0.138077718772027,0.149518440048375,0.127941813597987,0.145680907759357,0.130316285392923
2014,0.109206341259153,0.13936232915306,0.150697122452397,0.128462792870321,0.145922826479209,0.130712531900389
2015,0.109262355864662,0.140646939534093,0.15187580485642,0.128983772142655,0.146164745199062,0.131108778407855
2016,0.10931837047017,0.141931549915125,0.153054487260442,0.129504751414988,0.146406663918914,0.131505024915321
