"year","s1","s2","s3","s4","s5","s6"
2008,0.363440762790606,0.574283642706422,0.465804005344112,0.404625319657312,0.453728583535705,0.517692675899702
2009,0.365300334873526,0.575498952689377,0.468698688633896,0.407786055301105,0.456693125187273,0.521725149527644
2010,0.367159906956446,0.576714262672332,0.471593371923681,0.410946790944898,0.45965766683884,0.525757623155585
2011,0.369019479039366,0.577929572655288,0.474488055213464,0.414107526588692,0.462622208490407,0.529790096783528
2012,0.370879051122285,0.579144882638243,0.477382738503248,0.417268262232485,0.465586750141974,0.533822570411469
2013,0.372738623205205,0.580360192621198,0.480277421793033,0.420428997876279,0.468551291793542,0.537855044039412
2014,0.374598195288125,0.581575502604153,0.483172105082817,0.423589733520072,0.47151583344511,0.541887517667354
2015,0.376457767371045,0.582790812587109,0.486066788372601,0.426750469163865,0.474480375096676,0.545919991295295
2016,0.378317339453965,0.584006122570064,0.488961471662384,0.429911204807659,0.477444916748244,0.549952464923238
